time,RMB.sada,LC.sada
1582,1.131999969,-2.147000074
1583,3.523000002,0.321999997
1584,4.55700016,2.316999912
1585,0.884000003,-1.840999961
1586,2.84800005,-0.688000023
1587,2.569999933,0.86500001
1588,-0.147,-0.768999994
1589,0.298999995,1.722000003
1590,1.610000014,2.502000093
1591,0.246999994,0.248999998
1592,-1.605000019,-1.514999986
1593,1.774999976,0.022
1594,2.059000015,-0.386999995
1595,3.190000057,0.884000003
1596,-0.006,-0.924000025
1597,0.201000005,-1.212000012
1598,0.340999991,-3.174000025
1599,2.885999918,0.305999994
1600,4.618000031,2.052000046
1601,1.231999993,0.340999991
1602,-0.256000012,-1.702999949
1603,-0.54400003,-2
1604,0.382999986,-0.244000003
1605,1.593999982,2.578999996
1606,-0.736000001,0.718999982
1607,-2.64199996,-1.825000048
1608,1.462000012,2.838000059
1609,0.152999997,-0.356000006
1610,0.314999998,-1.276000023
1611,-1.534000039,-3.25999999
1612,0.181999996,-1.276000023
1613,1.485999942,0.360000014
1614,1.616999984,0.326000005
1615,1.552000046,0.206
1616,0.985000014,0.56099999
1617,0.483999997,-0.301999986
1618,1.167000055,0.657000005
1619,0.112999998,0.680000007
1620,-2.210000038,-2.006000042
1621,-0.057999998,-1.011999965
1622,1.942000031,0.97299999
1623,-0.837000012,-0.65200001
1624,-1.437000036,-0.363999993
1625,-1.021000028,-0.666000009
1626,-0.736000001,-0.944000006
1627,1.167000055,-0.481000006
1628,1.067000031,-0.326000005
1629,-0.391000003,-0.791000009
1630,2.082999945,1.552999973
1631,-1.302000046,-1.692999959
1632,-0.002,-0.451999992
1633,1.343000054,1.840000033
1634,0.284000009,-0.404000014
1635,2.086999893,0.419
1636,1.083999991,-0.370000005
1637,-0.194999993,-2.493999958
1638,0.866999984,-2.316999912
1639,0.47299999,-1.998999953
1640,2.584000111,0.620999992
1641,0.527999997,1.606999993
1642,1.633999944,2.242000103
1643,1.029999971,2.911000013
1644,-1.434999943,0.574999988
1645,-1.13499999,-0.486999989
1646,-1.942000031,-2.24000001
